bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag
0099-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.08309,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.07297,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.06958,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.05828,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.05529,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.05157,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.04842,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.04496,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01774,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.01201,absunits,FALSE,SP,SP,
0099-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.0115,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.34392,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.26759,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.22595,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.20003,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.17978,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.16401,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.10899,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.08342,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.07164,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.06274,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.6001,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.04779,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.04573,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.04296,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.04018,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.03803,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01599,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.1065,absunits,FALSE,SP,SP,
0110-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.0101,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.034121,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.26374,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.22438,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.1972,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.17827,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.16287,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.11462,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.09088,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.07696,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.06715,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.06491,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.05316,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.05028,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.04701,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.04372,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.04057,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01295,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.00734,absunits,FALSE,SP,SP,
0105-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.00682,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.33081,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.25255,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.21186,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.1864,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.16683,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.15132,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.10231,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.07824,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.06667,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.0586,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.05584,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.04394,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.04167,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.03954,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.03674,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.03435,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.01191,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.00741,absunits,FALSE,SP,SP,
0107-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.00696,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.33266,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.25756,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.2173,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.19194,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.17286,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.15771,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.11278,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.09009,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.07631,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.06711,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.06416,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.05264,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.04989,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs285,sample,abs44407,0.04615,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs290,sample,abs44407,0.04306,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs295,sample,abs44407,0.04037,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs412,sample,abs44407,0.0131,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs532,sample,abs44407,0.0077,absunits,FALSE,SP,SP,
0100-10,7/30/21,beckmanspec,abs555,sample,abs44407,0.00724,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs200,sample,abs44407,0.70205,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs202,sample,abs44407,0.49563,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs204,sample,abs44407,0.40571,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs206,sample,abs44407,0.35392,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs208,sample,abs44407,0.31821,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs210,sample,abs44407,0.28886,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs220,sample,abs44407,0.20927,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs230,sample,abs44407,0.17075,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs240,sample,abs44407,0.14585,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs250,sample,abs44407,0.12944,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs254,sample,abs44407,0.12472,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs275,sample,abs44407,0.09737,absunits,FALSE,SP,SP,
0097-10,7/30/21,beckmanspec,abs280,sample,abs44407,0.09024,absunits,FALSE,SP,SP,
