number,samplecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
160,0056-02,8/12/2021,lachat,tn,sample,056-02,0.551,mgL-1,FALSE,JB,LM,,,2021
161,0057-02,8/12/2021,lachat,tn,sample,057-02,0.222,mgL-1,FALSE,JB,LM,,,2021
162,0058-02,8/12/2021,lachat,tn,sample,058-02,0.343,mgL-1,FALSE,JB,LM,,,2021
163,0059-02,8/12/2021,lachat,tn,sample,059-02,0.352,mgL-1,FALSE,JB,LM,,,2021
164,0060-02,8/12/2021,lachat,tn,sample,060-02,0.355,mgL-1,FALSE,JB,LM,,,2021
165,0004-01,8/12/2021,lachat,tdn,sample,20210728_WHITNEY_00401_TDN,0.336,mgL-1,FALSE,JB,LM,,,2021
166,0005-01,8/12/2021,lachat,tdn,sample,501,0.35,mgL-1,FALSE,JB,LM,,,2021
167,0006-01,8/12/2021,lachat,tdn,sample,601,0.363,mgL-1,FALSE,JB,LM,,,2021
168,0013-01,8/12/2021,lachat,tdn,sample,1301,1.15,mgL-1,FALSE,JB,LM,,,2021
169,0014-01,8/12/2021,lachat,tdn,sample,1401,1.36,mgL-1,FALSE,JB,LM,,,2021
170,0015-01,8/12/2021,lachat,tdn,sample,1501,1.12,mgL-1,FALSE,JB,LM,,,2021
171,0022-01,8/12/2021,lachat,tdn,sample,2201,0.566,mgL-1,FALSE,JB,LM,,,2021
172,0023-01,8/12/2021,lachat,tdn,sample,2301,0.554,mgL-1,FALSE,JB,LM,,,2021
173,0024-01,8/12/2021,lachat,tdn,sample,2401,0.591,mgL-1,FALSE,JB,LM,,,2021
174,0031-01,8/12/2021,lachat,tdn,sample,3101,0.214,mgL-1,FALSE,JB,LM,,,2021
175,0032-01,8/12/2021,lachat,tdn,sample,3201,0.316,mgL-1,FALSE,JB,LM,,,2021
176,0033-01,8/12/2021,lachat,tdn,sample,3301,0.179,mgL-1,FALSE,JB,LM,,,2021
